League;Date;Get;Pay;Value;Confidence
Allflame;2026-09-22;Glassblower's Bauble;Chaos Orb;0.2534;High
Allflame;2026-09-22;Orb of Chance;Chaos Orb;0.1203;High
Allflame;2026-09-22;Elder's Exalted Orb;Chaos Orb;103.6;High
Allflame;2026-09-22;Eldritch Chaos Orb;Chaos Orb;41.72;High
Allflame;2026-09-22;Eldritch Exalted Orb;Chaos Orb;2.68;High
Allflame;2026-09-22;Eldritch Orb of Annulment;Chaos Orb;41.74;High
Allflame;2026-09-22;Exceptional Eldritch Ichor;Chaos Orb;251.2;High
Allflame;2026-09-22;Fracturing Shard;Chaos Orb;21.5;High
Allflame;2026-09-22;Grand Eldritch Ember;Chaos Orb;12.2;High
Allflame;2026-09-22;Grand Eldritch Ichor;Chaos Orb;5.2;High
Allflame;2026-09-22;Greater Eldritch Ember;Chaos Orb;0.6826;High
Allflame;2026-09-22;Greater Eldritch Ichor;Chaos Orb;0.8302;High
Allflame;2026-09-22;Instilling Orb;Chaos Orb;0.3292;High
Allflame;2026-09-22;Lesser Eldritch Ember;Chaos Orb;0.1357;High
Allflame;2026-09-22;Lesser Eldritch Ichor;Chaos Orb;0.1094;High
Allflame;2026-09-22;Maven's Chisel of Avarice;Chaos Orb;139.9;High
Allflame;2026-09-22;Maven's Chisel of Scarabs;Chaos Orb;50.14;High
Allflame;2026-09-22;Orb of Binding;Chaos Orb;0.03004;High
Allflame;2026-09-22;Orb of Intention;Chaos Orb;3.67;High
Allflame;2026-09-22;Orb of Remembrance;Chaos Orb;84.03;High
Allflame;2026-09-22;Orb of Unmaking;Chaos Orb;0.2398;High
Allflame;2026-09-22;Orb of Unravelling;Chaos Orb;45.28;High
Allflame;2026-09-22;Redeemer's Exalted Orb;Chaos Orb;198.4;High
Allflame;2026-09-22;Regal Orb;Chaos Orb;0.07917;High
Allflame;2026-09-22;Orb of Regret;Chaos Orb;1.44;High
Allflame;2026-09-22;Sacred Crystallised Lifeforce;Chaos Orb;48.48;High
Allflame;2026-09-22;Crystallised Rancour;Chaos Orb;693.7;High
Allflame;2026-09-22;Shaper's Exalted Orb;Chaos Orb;143.6;High
Allflame;2026-09-22;Tainted Blacksmith's Whetstone;Chaos Orb;4.47;High
Allflame;2026-09-22;Tainted Exalted Orb;Chaos Orb;542.7;High
Allflame;2026-09-22;Tainted Orb of Fusing;Chaos Orb;23.57;High
Allflame;2026-09-22;Tempering Catalyst;Chaos Orb;8.38;High
Allflame;2026-09-22;Crusader's Exalted Orb;Chaos Orb;269.6;High
Allflame;2026-09-22;Hinekora's Lock;Chaos Orb;91954;High
Allflame;2026-09-22;Veiled Exalted Orb;Chaos Orb;4743;High
Allflame;2026-09-22;Exceptional Eldritch Ember;Chaos Orb;267.3;High
Allflame;2026-09-22;Flesh of Xesht;Chaos Orb;89.15;High
Allflame;2026-09-22;Foulborn Exalted Orb;Chaos Orb;1958;High
Allflame;2026-09-22;Foulborn Orb of Augmentation;Chaos Orb;2.59;High
Allflame;2026-09-22;Foulborn Regal Orb;Chaos Orb;12.33;High
Allflame;2026-09-22;Hunter's Exalted Orb;Chaos Orb;589;High
Allflame;2026-09-22;Maven's Chisel of Divination;Chaos Orb;30.97;High
Allflame;2026-09-22;Maven's Chisel of Procurement;Chaos Orb;3.6;High
Allflame;2026-09-22;Maven's Chisel of Proliferation;Chaos Orb;42.24;High
Allflame;2026-09-22;Orb of Dominance;Chaos Orb;1634;High
Allflame;2026-09-22;Mirror of Kalandra;Chaos Orb;396464;High
Allflame;2026-09-22;Mirror Shard;Chaos Orb;20081;High
Allflame;2026-09-22;Noxious Catalyst;Chaos Orb;2.15;High
Allflame;2026-09-22;Portal Scroll;Chaos Orb;0.02914;High
Allflame;2026-09-22;Rogue's Marker;Chaos Orb;0.001538;High
Allflame;2026-09-22;Sacred Orb;Chaos Orb;83.55;High
Allflame;2026-09-22;Tailoring Orb;Chaos Orb;529.9;High
Allflame;2026-09-22;Tainted Armourer's Scrap;Chaos Orb;2.79;High
Allflame;2026-09-22;Tainted Chaos Orb;Chaos Orb;10;High
Allflame;2026-09-22;Tainted Chromatic Orb;Chaos Orb;8.64;High
Allflame;2026-09-22;Volatile Vaal Orb;Chaos Orb;1591;High
Allflame;2026-09-22;Tainted Divine Teardrop;Chaos Orb;1716;High
Allflame;2026-09-22;Tainted Jeweller's Orb;Chaos Orb;1.71;High
Allflame;2026-09-22;Tainted Mythic Orb;Chaos Orb;17.21;High
Allflame;2026-09-22;Tempering Orb;Chaos Orb;425.2;High
Allflame;2026-09-22;Orb of Transmutation;Chaos Orb;0.007279;High
Allflame;2026-09-22;Vaal Orb;Chaos Orb;1.07;High
Allflame;2026-09-22;Veiled Chaos Orb;Chaos Orb;65.07;High
Allflame;2026-09-22;Warlord's Exalted Orb;Chaos Orb;480;High
Allflame;2026-09-22;Blacksmith's Whetstone;Chaos Orb;0.04666;High
Allflame;2026-09-22;Scroll of Wisdom;Chaos Orb;0.01165;High
Allflame;2026-09-22;Awakening Fragment;Chaos Orb;6.46;High
Allflame;2026-09-22;Baran's Crest;Chaos Orb;11.24;High
Allflame;2026-09-22;Al-Hezmin's Crest;Chaos Orb;9.26;High
Allflame;2026-09-22;Blazing Fragment;Chaos Orb;74.77;High
Allflame;2026-09-22;Fragment of the Chimera;Chaos Orb;6.03;High
Allflame;2026-09-22;Cosmic Fragment;Chaos Orb;221.3;High
Allflame;2026-09-22;Crescent Splinter;Chaos Orb;1.98;High
Allflame;2026-09-22;Decaying Fragment;Chaos Orb;130.2;High
Allflame;2026-09-22;Drox's Crest;Chaos Orb;14.93;High
Allflame;2026-09-22;Sacrifice at Dusk;Chaos Orb;0.1308;High
Allflame;2026-09-22;Echo of Loneliness;Chaos Orb;141.8;High
Allflame;2026-09-22;Fragment of Constriction;Chaos Orb;13.93;High
Allflame;2026-09-22;Fragment of Emptiness;Chaos Orb;41.07;High
Allflame;2026-09-22;Fragment of Enslavement;Chaos Orb;13.1;High
Allflame;2026-09-22;Fragment of Eradication;Chaos Orb;13.97;High
Allflame;2026-09-22;Fragment of Knowledge;Chaos Orb;100.9;High
Allflame;2026-09-22;Fragment of Purification;Chaos Orb;11.42;High
Allflame;2026-09-22;Fragment of Shape;Chaos Orb;74.79;High
Allflame;2026-09-22;Hivebrain Gland;Chaos Orb;9.35;High
Allflame;2026-09-22;Fragment of the Hydra;Chaos Orb;11.32;High
Allflame;2026-09-22;Mortal Ignorance;Chaos Orb;13.32;High
Allflame;2026-09-22;Memory of Loneliness;Chaos Orb;3.17;High
Allflame;2026-09-22;Sacrifice at Midnight;Chaos Orb;3.41;High
Allflame;2026-09-22;Dedication to the Goddess;Chaos Orb;33.39;High
Allflame;2026-09-22;Ritual Vessel;Chaos Orb;1.83;High
Allflame;2026-09-22;Sacred Blossom;Chaos Orb;37.4;High
Allflame;2026-09-22;The Maven's Writ;Chaos Orb;8.61;High
Allflame;2026-09-22;Timeless Maraketh Emblem;Chaos Orb;20.65;High
Allflame;2026-09-22;Timeless Templar Emblem;Chaos Orb;16.24;High
Allflame;2026-09-22;Traumatic Fragment;Chaos Orb;62.73;High
Allflame;2026-09-22;Zorath's Eye of the Endless;Chaos Orb;185.8;High
Allflame;2026-09-22;Sacrifice at Dawn;Chaos Orb;0.3091;High
Allflame;2026-09-22;Devouring Fragment;Chaos Orb;190.1;High
Allflame;2026-09-22;Echo of Reverence;Chaos Orb;313.4;High
Allflame;2026-09-22;Echo of Trauma;Chaos Orb;516;High
Allflame;2026-09-22;Fragment of Terror;Chaos Orb;41.9;High
Allflame;2026-09-22;Mortal Hope;Chaos Orb;16.84;High
Allflame;2026-09-22;Lonely Fragment;Chaos Orb;63.19;High
Allflame;2026-09-22;Memory of Reverence;Chaos Orb;13.3;High
Allflame;2026-09-22;Memory of Trauma;Chaos Orb;68.7;High
Allflame;2026-09-22;Fragment of the Minotaur;Chaos Orb;15.55;High
Allflame;2026-09-22;Tribute to the Goddess;Chaos Orb;10.6;High
Allflame;2026-09-22;Fragment of the Phoenix;Chaos Orb;7.17;High
Allflame;2026-09-22;Mortal Rage;Chaos Orb;10.67;High
Allflame;2026-09-22;Reality Fragment;Chaos Orb;211.1;High
Allflame;2026-09-22;Reverent Fragment;Chaos Orb;167.7;High
Allflame;2026-09-22;Synthesising Fragment;Chaos Orb;7.66;High
Allflame;2026-09-22;Timeless Eternal Emblem;Chaos Orb;4.63;High
Allflame;2026-09-22;Timeless Karui Emblem;Chaos Orb;1.79;High
Allflame;2026-09-22;Timeless Vaal Emblem;Chaos Orb;12.25;High
Allflame;2026-09-22;Veritania's Crest;Chaos Orb;19.58;High
Allflame;2026-09-16;Reflecting Mist;Chaos Orb;1765.930354267311;Medium
Allflame;2026-09-17;Reflecting Mist;Chaos Orb;1736.0197262479871;Medium
Allflame;2026-09-18;Reflecting Mist;Chaos Orb;1785.5269726247986;Medium
Allflame;2026-09-19;Reflecting Mist;Chaos Orb;1702.3272946859902;Medium
Allflame;2026-09-20;Reflecting Mist;Chaos Orb;1767.133655394525;Medium
Allflame;2026-09-21;Reflecting Mist;Chaos Orb;1724.1586151368758;Medium
Allflame;2026-09-16;Divine Orb;Chaos Orb;352.0948228365157;Medium
Allflame;2026-09-17;Divine Orb;Chaos Orb;359.6682625629335;Medium
Allflame;2026-09-18;Divine Orb;Chaos Orb;363.490044647098;Medium
Allflame;2026-09-19;Divine Orb;Chaos Orb;359.42282701624396;Medium
Allflame;2026-09-20;Divine Orb;Chaos Orb;360.7551914125582;Medium
Allflame;2026-09-21;Divine Orb;Chaos Orb;366.9261423007505;Medium
Allflame;2026-09-16;Orb of Conflict;Chaos Orb;505.37125444388016;Medium
Allflame;2026-09-17;Orb of Conflict;Chaos Orb;495.6731843575419;Medium
Allflame;2026-09-18;Orb of Conflict;Chaos Orb;450.23692229558156;Medium
Allflame;2026-09-19;Orb of Conflict;Chaos Orb;462.8819197562214;Medium
Allflame;2026-09-20;Orb of Conflict;Chaos Orb;442.8963941086846;Medium
Allflame;2026-09-21;Orb of Conflict;Chaos Orb;419.21381411884204;Medium
Allflame;2026-09-16;Fracturing Orb;Chaos Orb;662.5898617511521;Medium
Allflame;2026-09-17;Fracturing Orb;Chaos Orb;638;Medium
Allflame;2026-09-18;Fracturing Orb;Chaos Orb;610.6036866359447;Medium
Allflame;2026-09-19;Fracturing Orb;Chaos Orb;597.8410138248848;Medium
Allflame;2026-09-20;Fracturing Orb;Chaos Orb;616.5506912442396;Medium
Allflame;2026-09-21;Fracturing Orb;Chaos Orb;593.63133640553;Medium
Allflame;2026-09-16;Prismatic Catalyst;Chaos Orb;123.66451652537167;Medium
Allflame;2026-09-17;Prismatic Catalyst;Chaos Orb;122.61911782774295;Medium
Allflame;2026-09-18;Prismatic Catalyst;Chaos Orb;120.07326452881188;Medium
Allflame;2026-09-19;Prismatic Catalyst;Chaos Orb;112.01754515296719;Medium
Allflame;2026-09-20;Prismatic Catalyst;Chaos Orb;107.19641233566776;Medium
Allflame;2026-09-21;Prismatic Catalyst;Chaos Orb;106.87664332227546;Medium
Allflame;2026-09-16;Accelerating Catalyst;Chaos Orb;3.452793602103418;Medium
Allflame;2026-09-17;Accelerating Catalyst;Chaos Orb;2.6846779141104298;Medium
Allflame;2026-09-18;Accelerating Catalyst;Chaos Orb;2.7751906222611744;Medium
Allflame;2026-09-19;Accelerating Catalyst;Chaos Orb;2.541099912357581;Medium
Allflame;2026-09-20;Accelerating Catalyst;Chaos Orb;2.765251971954426;Medium
Allflame;2026-09-21;Accelerating Catalyst;Chaos Orb;2.604281332164768;Medium
Allflame;2026-09-16;Tainted Catalyst;Chaos Orb;16.33304417456293;Medium
Allflame;2026-09-17;Tainted Catalyst;Chaos Orb;16.42498331776325;Medium
Allflame;2026-09-18;Tainted Catalyst;Chaos Orb;15.586454023755508;Medium
Allflame;2026-09-19;Tainted Catalyst;Chaos Orb;14.433337781929803;Medium
Allflame;2026-09-20;Tainted Catalyst;Chaos Orb;15.205405044708398;Medium
Allflame;2026-09-21;Tainted Catalyst;Chaos Orb;17.573668757507008;Medium
Allflame;2026-09-16;Orb of Annulment;Chaos Orb;19.851802596747763;Medium
Allflame;2026-09-17;Orb of Annulment;Chaos Orb;17.859082314382956;Medium
Allflame;2026-09-18;Orb of Annulment;Chaos Orb;18.501061389133998;Medium
Allflame;2026-09-19;Orb of Annulment;Chaos Orb;17.785836379679818;Medium
Allflame;2026-09-20;Orb of Annulment;Chaos Orb;18.231774864490106;Medium
Allflame;2026-09-21;Orb of Annulment;Chaos Orb;16.359694945165764;Medium
Allflame;2026-09-16;Ancient Orb;Chaos Orb;11.119865596247518;Medium
Allflame;2026-09-17;Ancient Orb;Chaos Orb;10.479459678874255;Medium
Allflame;2026-09-18;Ancient Orb;Chaos Orb;10.538940104636477;Medium
Allflame;2026-09-19;Ancient Orb;Chaos Orb;10.576611040952553;Medium
Allflame;2026-09-20;Ancient Orb;Chaos Orb;11.571916832040412;Medium
Allflame;2026-09-21;Ancient Orb;Chaos Orb;10.793714594984666;Medium
Allflame;2026-09-16;Unstable Catalyst;Chaos Orb;5.779037679995986;Medium
Allflame;2026-09-17;Unstable Catalyst;Chaos Orb;7.194545180874015;Medium
Allflame;2026-09-18;Unstable Catalyst;Chaos Orb;7.098941347649391;Medium
Allflame;2026-09-19;Unstable Catalyst;Chaos Orb;5.700556921378756;Medium
Allflame;2026-09-20;Unstable Catalyst;Chaos Orb;8.774148813406253;Medium
Allflame;2026-09-21;Unstable Catalyst;Chaos Orb;9.270717977020722;Medium
Allflame;2026-09-16;Stacked Deck;Chaos Orb;8.198121696229297;Medium
Allflame;2026-09-17;Stacked Deck;Chaos Orb;7.507917302948432;Medium
Allflame;2026-09-18;Stacked Deck;Chaos Orb;6.890581463643839;Medium
Allflame;2026-09-19;Stacked Deck;Chaos Orb;6.39933278515212;Medium
Allflame;2026-09-20;Stacked Deck;Chaos Orb;6.744025607893809;Medium
Allflame;2026-09-21;Stacked Deck;Chaos Orb;7.143574533067074;Medium
Allflame;2026-09-16;Imbued Catalyst;Chaos Orb;2.1222769133058117;Medium
Allflame;2026-09-17;Imbued Catalyst;Chaos Orb;1.977691330581137;Medium
Allflame;2026-09-18;Imbued Catalyst;Chaos Orb;1.8238964750714513;Medium
Allflame;2026-09-19;Imbued Catalyst;Chaos Orb;1.9193659362760664;Medium
Allflame;2026-09-20;Imbued Catalyst;Chaos Orb;1.9119985180480576;Medium
Allflame;2026-09-21;Imbued Catalyst;Chaos Orb;1.6588970043400022;Medium
Allflame;2026-09-16;Chromatic Orb;Chaos Orb;5.123880946801032;Medium
Allflame;2026-09-17;Chromatic Orb;Chaos Orb;5.090883524724632;Medium
Allflame;2026-09-18;Chromatic Orb;Chaos Orb;4.79545348019686;Medium
Allflame;2026-09-19;Chromatic Orb;Chaos Orb;4.979001640496836;Medium
Allflame;2026-09-20;Chromatic Orb;Chaos Orb;4.739770330442934;Medium
Allflame;2026-09-21;Chromatic Orb;Chaos Orb;4.290180454651981;Medium
Allflame;2026-09-16;Enkindling Orb;Chaos Orb;1.8452588306942752;Medium
Allflame;2026-09-17;Enkindling Orb;Chaos Orb;1.9567174177831912;Medium
Allflame;2026-09-18;Enkindling Orb;Chaos Orb;1.7205207064555421;Medium
Allflame;2026-09-19;Enkindling Orb;Chaos Orb;1.724698538367844;Medium
Allflame;2026-09-20;Enkindling Orb;Chaos Orb;1.8585383678440928;Medium
Allflame;2026-09-21;Enkindling Orb;Chaos Orb;1.862268574908648;Medium
Allflame;2026-09-16;Exalted Orb;Chaos Orb;2.2361653368528405;Medium
Allflame;2026-09-17;Exalted Orb;Chaos Orb;2.2333265342851996;Medium
Allflame;2026-09-18;Exalted Orb;Chaos Orb;2.8049397084408176;Medium
Allflame;2026-09-19;Exalted Orb;Chaos Orb;3.0099418081468587;Medium
Allflame;2026-09-20;Exalted Orb;Chaos Orb;3.475099886015957;Medium
Allflame;2026-09-21;Exalted Orb;Chaos Orb;3.656783250344951;Medium
Allflame;2026-09-16;Scrying Orb;Chaos Orb;2;Medium
Allflame;2026-09-17;Scrying Orb;Chaos Orb;2;Medium
Allflame;2026-09-18;Scrying Orb;Chaos Orb;2;Medium
Allflame;2026-09-19;Scrying Orb;Chaos Orb;2;Medium
Allflame;2026-09-20;Scrying Orb;Chaos Orb;3;Medium
Allflame;2026-09-21;Scrying Orb;Chaos Orb;3;Medium
Allflame;2026-09-16;Gemcutter's Prism;Chaos Orb;2.6889700628310953;Medium
Allflame;2026-09-17;Gemcutter's Prism;Chaos Orb;2.187745472465197;Medium
Allflame;2026-09-18;Gemcutter's Prism;Chaos Orb;2.089069853394111;Medium
Allflame;2026-09-19;Gemcutter's Prism;Chaos Orb;2.247426389059998;Medium
Allflame;2026-09-20;Gemcutter's Prism;Chaos Orb;2.532753480349883;Medium
Allflame;2026-09-21;Gemcutter's Prism;Chaos Orb;2.0707613650363434;Medium
Allflame;2026-09-16;Intrinsic Catalyst;Chaos Orb;2.60691169133544;Medium
Allflame;2026-09-17;Intrinsic Catalyst;Chaos Orb;3.664047064693165;Medium
Allflame;2026-09-18;Intrinsic Catalyst;Chaos Orb;4.02115167137868;Medium
Allflame;2026-09-19;Intrinsic Catalyst;Chaos Orb;2.883511558290371;Medium
Allflame;2026-09-20;Intrinsic Catalyst;Chaos Orb;3.013280392482954;Medium
Allflame;2026-09-21;Intrinsic Catalyst;Chaos Orb;3.1014751372027276;Medium
Allflame;2026-09-16;Turbulent Catalyst;Chaos Orb;2.927147039687703;Medium
Allflame;2026-09-17;Turbulent Catalyst;Chaos Orb;3.1850406636304487;Medium
Allflame;2026-09-18;Turbulent Catalyst;Chaos Orb;2.556084905660377;Medium
Allflame;2026-09-19;Turbulent Catalyst;Chaos Orb;2.687389394925179;Medium
Allflame;2026-09-20;Turbulent Catalyst;Chaos Orb;2.957978204294079;Medium
Allflame;2026-09-21;Turbulent Catalyst;Chaos Orb;2.8654847104749512;Medium
Allflame;2026-09-16;Abrasive Catalyst;Chaos Orb;2.077675354948082;Medium
Allflame;2026-09-17;Abrasive Catalyst;Chaos Orb;2.221996185632549;Medium
Allflame;2026-09-18;Abrasive Catalyst;Chaos Orb;1.8527527018436107;Medium
Allflame;2026-09-19;Abrasive Catalyst;Chaos Orb;2.2339775376139013;Medium
Allflame;2026-09-20;Abrasive Catalyst;Chaos Orb;2.2392420710602527;Medium
Allflame;2026-09-21;Abrasive Catalyst;Chaos Orb;1.5730062866426504;Medium
Allflame;2026-09-16;Fertile Catalyst;Chaos Orb;40.5581135371179;Medium
Allflame;2026-09-17;Fertile Catalyst;Chaos Orb;38.63056768558952;Medium
Allflame;2026-09-18;Fertile Catalyst;Chaos Orb;39.239895196506545;Medium
Allflame;2026-09-19;Fertile Catalyst;Chaos Orb;35.11399126637554;Medium
Allflame;2026-09-20;Fertile Catalyst;Chaos Orb;33.20635807860262;Medium
Allflame;2026-09-21;Fertile Catalyst;Chaos Orb;36.95392139737991;Medium
Allflame;2026-09-16;Orb of Scouring;Chaos Orb;0.6707009529911108;Medium
Allflame;2026-09-17;Orb of Scouring;Chaos Orb;0.6545251541603269;Medium
Allflame;2026-09-18;Orb of Scouring;Chaos Orb;0.8051028109233604;Medium
Allflame;2026-09-19;Orb of Scouring;Chaos Orb;0.7000790582205494;Medium
Allflame;2026-09-20;Orb of Scouring;Chaos Orb;0.6651107872187075;Medium
Allflame;2026-09-21;Orb of Scouring;Chaos Orb;0.751579947145031;Medium
Allflame;2026-09-16;Orb of Alteration;Chaos Orb;0.27742822757111596;Medium
Allflame;2026-09-17;Orb of Alteration;Chaos Orb;0.2634199228925706;Medium
Allflame;2026-09-18;Orb of Alteration;Chaos Orb;0.26538693341669267;Medium
Allflame;2026-09-19;Orb of Alteration;Chaos Orb;0.26076180056267584;Medium
Allflame;2026-09-20;Orb of Alteration;Chaos Orb;0.24335109930186516;Medium
Allflame;2026-09-21;Orb of Alteration;Chaos Orb;0.2336489527977493;Medium
Allflame;2026-09-16;Orb of Fusing;Chaos Orb;0.09488426597582039;Medium
Allflame;2026-09-17;Orb of Fusing;Chaos Orb;0.100209792746114;Medium
Allflame;2026-09-18;Orb of Fusing;Chaos Orb;0.10179557858376512;Medium
Allflame;2026-09-19;Orb of Fusing;Chaos Orb;0.10559468048359241;Medium
Allflame;2026-09-20;Orb of Fusing;Chaos Orb;0.11686478411053543;Medium
Allflame;2026-09-21;Orb of Fusing;Chaos Orb;0.09514715025906735;Medium
Allflame;2026-09-16;Armourer's Scrap;Chaos Orb;0.12255587965616045;Medium
Allflame;2026-09-17;Armourer's Scrap;Chaos Orb;0.10977227316141355;Medium
Allflame;2026-09-18;Armourer's Scrap;Chaos Orb;0.11721718815663801;Medium
Allflame;2026-09-19;Armourer's Scrap;Chaos Orb;0.1263149035339064;Medium
Allflame;2026-09-20;Armourer's Scrap;Chaos Orb;0.11581303915950335;Medium
Allflame;2026-09-21;Armourer's Scrap;Chaos Orb;0.1549244393505253;Medium
Allflame;2026-09-16;Jeweller's Orb;Chaos Orb;0.013990288706481741;Medium
Allflame;2026-09-17;Jeweller's Orb;Chaos Orb;0.015559230116048683;Medium
Allflame;2026-09-18;Jeweller's Orb;Chaos Orb;0.012835467025191054;Medium
Allflame;2026-09-19;Jeweller's Orb;Chaos Orb;0.01419342060571752;Medium
Allflame;2026-09-20;Jeweller's Orb;Chaos Orb;0.01824820266062836;Medium
Allflame;2026-09-21;Jeweller's Orb;Chaos Orb;0.014903821115199544;Medium
Allflame;2026-09-16;Vivid Crystallised Lifeforce;Chaos Orb;0.1667333669863705;Medium
Allflame;2026-09-17;Vivid Crystallised Lifeforce;Chaos Orb;0.14652781423523473;Medium
Allflame;2026-09-18;Vivid Crystallised Lifeforce;Chaos Orb;0.13479131751640586;Medium
Allflame;2026-09-19;Vivid Crystallised Lifeforce;Chaos Orb;0.1065861686017163;Medium
Allflame;2026-09-20;Vivid Crystallised Lifeforce;Chaos Orb;0.11578758202927815;Medium
Allflame;2026-09-21;Vivid Crystallised Lifeforce;Chaos Orb;0.11691428571428572;Medium
Allflame;2026-09-16;Dead Man's Sulphur;Chaos Orb;0.0102344433776141;Medium
Allflame;2026-09-17;Dead Man's Sulphur;Chaos Orb;0.010872281204787585;Medium
Allflame;2026-09-18;Dead Man's Sulphur;Chaos Orb;0.010874283835328161;Medium
Allflame;2026-09-19;Dead Man's Sulphur;Chaos Orb;0.009582587136656584;Medium
Allflame;2026-09-20;Dead Man's Sulphur;Chaos Orb;0.008694420491911088;Medium
Allflame;2026-09-21;Dead Man's Sulphur;Chaos Orb;0.007473817177429962;Medium
Allflame;2026-09-16;Primal Crystallised Lifeforce;Chaos Orb;0.04512597196729518;Medium
Allflame;2026-09-17;Primal Crystallised Lifeforce;Chaos Orb;0.0455175704989154;Medium
Allflame;2026-09-18;Primal Crystallised Lifeforce;Chaos Orb;0.044536270649090604;Medium
Allflame;2026-09-19;Primal Crystallised Lifeforce;Chaos Orb;0.049226238945436346;Medium
Allflame;2026-09-20;Primal Crystallised Lifeforce;Chaos Orb;0.05296254964124812;Medium
Allflame;2026-09-21;Primal Crystallised Lifeforce;Chaos Orb;0.05478693809444352;Medium
Allflame;2026-09-16;Wild Crystallised Lifeforce;Chaos Orb;0.03054881814340048;Medium
Allflame;2026-09-17;Wild Crystallised Lifeforce;Chaos Orb;0.028276858712494718;Medium
Allflame;2026-09-18;Wild Crystallised Lifeforce;Chaos Orb;0.028625397943372308;Medium
Allflame;2026-09-19;Wild Crystallised Lifeforce;Chaos Orb;0.026882701788984366;Medium
